Inep,Latitude,Longitude
43107672,-30.0441,-51.2194
43107680,-30.0278,-51.2050
43107699,-30.0521,-51.2053
43107702,-30.0206,-51.2102
43107710,-30.0110,-51.1958
43108369,-30.0051,-51.2013
43107729,-30.0346,-51.2363
43173705,-30.0994,-51.2293
43173691,-30.0146,-51.1276
43173683,-30.07,-51.1562
43173675,-30.1165,-51.2205
43173667,-30.0080,-51.0968
43173659,-30.1249,-51.2194
43173640,-30.0605,-51.1942
43173632,-30.0408,-51.1431
43173624,-29.9803,-51.1271
43173616,-30.0035,-51.1562
43173608,-30.0967,-51.1327
43173594,-30.1261,-51.2094
43173586,-30.1504,-51.1395
43173578,-30.1536,-51.1433
43173560,-30.1487,-51.1452
43173551,-29.9928,-51.1067
43173543,-30.0679,-51.2145
43173535,-30.0708,-51.1698
43173527,-30.0464,-51.2157
43173519,-30.0048,-51.0950
43173500,-30.1107,-51.1106
43173497,-30.0961,-51.1345
43175163,-30.0165,-51.2604
43173489,-30.1116,-51.2354
43173470,-30.0660,-51.1676
43173462,-30.0395,-51.1443
43173454,-29.9991,-51.0934
43175155,-29.9980,-51.1032
43175147,-29.9804,-51.1855
43175139,-30.1850,-51.2103
43177026,-30.0304,-51.1123
43181112,-30.0805,-51.2279
43181376,-30.1561,-51.1381
43185401,-30.0519,-51.2066
43048196,-29.9821,-51.1239
43141790,-30.0074,-51.1004
43105440,-30.111348,-51.112296
43107842,-30.152845,-51.143479
43105459,-30.078504,-51.167847
43105467,-30.097866,-51.241577
43105475,-29.988972,-51.107087
43105483,-30.151252,-51.137753
43109071,-30.137166,-51.211227
43108571,-30.024317,-51.104082
43107508,-29.993514,-51.105236
43105491,-30.082424,-51.232502
43108563,-29.979265,-51.126153
43109055,-30.076075,-51.163617
43109098,-30.15065,-51.143603
43109063,-30.129188,-51.216406
43105505,-29.993935,-51.133246
43109101,-30.085076,-51.228443
43105513,-30.046837,-51.158048
43105521,-30.015379,-51.128178
43105530,-30.016683,-51.12712
43105548,-30.095022,-51.137694
43109217,-29.999548,-51.092938
43109195,-30.031062,-51.125223
43169490,-30.048134,-51.156208
43109080,-30.156746,-51.135767
43179002,-30.086837,-51.238018
43109233,-30.083766,-51.200002
43172482,-29.980423,-51.185486
43109209,-30.018017,-51.123867
43109144,-30.1611,-51.1437
43178995,-30.054371,-51.166291
43109128,-30.076641,-51.173593
43109225,-30.035412,-51.116866
43179010,-30.03403,-51.146037
43172474,-30.004744,-51.094988
43172490,-30.159502,-51.200323
43179029,-30.150062,-51.145814
43167535,-30.112839,-51.101099
43167179,-30.123316,-51.097749
