Inep,Logradouro,Numero,Bairro,Cep
43107672,PCA GARIBALDI                                     ,1,AZENHA              ,90050020
43107680,RUA VINTE E QUATRO DE OUTUBRO                     ,211,INDEPENDÊNCIA       ,90510002
43107699,PCA JAYME TELLES                                  ,1,SANTANA             ,90650100
43107702,R SAO CARLOS                                      ,636,FLORESTA            ,90220121
43107710,AV GUIDO MONDIN                                   ,1,SÃO GERALDO         ,90230260
43108369,AV BRASIL                                         ,593,SÃO GERALDO         ,90230061
43107729,PCA GEN OSORIO                                    ,1,CENTRO HISTÓRICO    ,90010520
43173705,R CANELA                                          ,180,CAVALHADA           ,91740190
43173691,R MODESTO FRANCO                                  ,100,PASSO DAS PEDRAS    ,91230100
43173683,R SARGENTO EXPED GERALDO SANTANA                  ,40,PARTENON            ,91530640
43173675,R JOAQUIM DE CARVALHO                             ,325,VILA NOVA           ,91740840
43173667,R ANTONIO FRANCISCO LISBOA                        ,400,RUBEM BERTA         ,91180040
43173659,R SILVINO OLIVEIRA                                ,250,VILA NOVA           ,91750057
43173640,R TOBIAS BARRETO                                  ,170,PARTENON            ,90660370
43173632,BC FRANKLIN                                       ,270,JARDIM SABARÁ       ,91210060
43173624,R PAULO GOMES DE OLIVEIRA                         ,120,SARANDI             ,91120570
43173616,R MONTE ALEGRE                                    ,55,JARDIM FLORESTA     ,91040120
43173608,AV SANTO DIAS DA SILVA                            ,550,LOMBA DO PINHEIRO   ,91550500
43173594,R FERNANDO PESSOA                                 ,350,VILA NOVA           ,91750340
43173586,R DR CARLOS NIEDERAUER HOFMEISTER                 ,808,RESTINGA            ,91790020
43173578,R TEN ARIZOLY FAGUNDES                            ,250,RESTINGA            ,91790520
43173560,R ALVARO DIFINI                                   ,480,RESTINGA            ,91790560
43173551,R LORIS JOSE ISATTO                               ,0,RUBEM BERTA         ,91160160
43173543,AV MOAB CALDAS                                    ,129,SANTA TEREZA        ,90880310
43173535,RUA FREI CLEMENTE                                 ,150,VILA SÃO JOSÉ       ,91520260
43173527,R OTTO ERNST MEYER                                ,55,AZENHA              ,90050060
43173519,R AMAURI CAFRUNE                                  ,149,RUBEM BERTA         ,91170075
43173500,C ESTR JOAO DE OLIVEIRA REMIAO                    ,1,LOMBA DO PINHEIRO   ,91560695
43173497,RUA PEDRO GOLOMBIEWSKI                            ,100,LOMBA DO PINHEIRO   ,91550230
43175163,R GARRUCHOS                                       ,0,ARQUIPÉLAGO         ,90090080
43173489,R JARDIM DAS BROMÉLIAS                            ,1,CAMAQUÃ             ,91920400
43173470,RUA PRIMEIRO DE MARÇO                             ,300,VILA SÃO JOSÉ       ,91520620
43173462,R ARACY FROES                                     ,210,JARDIM SABARÁ       ,91210230
43173454,R GUIDO ALBERTO WERLANG                           ,747,RUBEM BERTA         ,91170300
43175155,AV DONARIO BRAGA                                  ,1,RUBEM BERTA         ,91160360
43175147,RUA DR CAIO BRANDÃO DE MELLO                      ,1,HUMAITÁ             ,90250110
43175139,ESTR RETIRO DA PONTA GROSSA                       ,3581,PONTA GROSSA        ,91780590
43177026,AV MARTIM FELIX BERTA                             ,2353,RUBEM BERTA         ,91270650
43181112,BC UM RUA DONA OTILIA                             ,497,SANTA TEREZA        ,90830582
43181376,AV MERIDIONAL                                     ,0,RESTINGA            ,91790070
43185401,AV BENTO GONCALVES                                ,642,AZENHA              ,90650000
43048196,R ARMANDO COSTA                                   ,0,SARANDI             ,91120450
43141790,R SANTO EXPEDITO                                  ,0,RUBEM BERTA         ,91180265
43105440,R GUAIBA - LOMBA DO PINHEIRO                      ,203,LOMBA DO PINHEIRO   ,91560640
43107842,R TEN ARIZOLY FAGUNDES                            ,250,RESTINGA            ,91790520
43105459,RUA PADRE ANGELO COSTA                            ,175,PARTENON            ,91520161
43105467,R CHICO PEDRO                                     ,390,CAMAQUÃ             ,91910650
43105475,R CRISTOVAO JAQUES                                ,488,SARANDI             ,91140420
43105483,R DR CARLOS NIEDERAUER HOFMEISTER                 ,85,RESTINGA            ,91790020
43109071,R MORRO ALTO                                      ,433,IPANEMA             ,91751650
43108571,R WOLFRAM METZLER                                 ,600,RUBEM BERTA         ,91250320
43107508,R JAYME CYRINO MACHADO DE OLIVEIRA                ,250,STA ROSA LIMA       ,91160060
43105491,AV CAPIVARI                                       ,1999,CRISTAL             ,90810070
43108563,R JOAO LUIZ PUFAL                                 ,100,SARANDI             ,91120530
43109055,RUA SAUL CONSTANTINO VL SJ COMUNITÁRIA            ,100,VILA SÃO JOSÉ       ,91520716
43109098,AV ECON NILO WULFF                                ,1000,RESTINGA            ,91790000
43109063,R ROMEU DE VASCONCELLOS ROSA                      ,10,VILA NOVA           ,91751370
43105505,R XAVIER DE CARVALHO                              ,274,SARANDI             ,91110440
43109101,R CONEGO PAULO ISIDORO DE NADAL                   ,1,SANTA TEREZA        ,90830540
43105513,R A VILA N S FATIMA-DIVINEIA                      ,15,BOM JESUS           ,91420701
43105521,R ESTADIO                                         ,29,PASSO DAS PEDRAS    ,91230030
43105530,RUA ANA AURORA DO AMARAL LISBOA                   ,60,PASSO DAS PEDRAS    ,91230000
43105548,AV SANTO DIAS DA SILVA                            ,1,LOMBA DO PINHEIRO   ,91550500
43109217,AV GAMAL ABDEL NASSER                             ,500,RUBEM BERTA         ,91170001
43109195,AV MARIO MENEGHETTI                               ,1000,MORRO SANTANA       ,91260190
43169490,AV JOAQUIM PORTO VILLANOVA                        ,135,JARDIM CARVALHO     ,91410400
43109080,R ABOLICAO                                        ,1,RESTINGA            ,91790130
43179002,R BUTUI                                           ,221,CRISTAL             ,90820150
43109233,AV ENG LUDOLFO BOEHL                              ,1402,CASCATA             ,91720150
43172482,RUA DR CAIO BRANDÃO DE MELLO                      ,1,HUMAITÁ             ,90250110
