Tipo,Inep,Nome,AbreviacaoNome,Telefone,Email
EDUCAÇÃO INFANTIL                                                                         ,43107672,EMEI JP CANTINHO AMIGO                                  ,CANTINHO                      ,32271906,emei.cantinhoamigo@smed.prefpoa.com.br            
EDUCAÇÃO INFANTIL                                                                         ,43107680,EMEI JP CIRANDINHA                                      ,CIRANDINHA                    ,33461600,emei.cirandinha@smed.prefpoa.com.br               
EDUCAÇÃO INFANTIL                                                                         ,43107699,EMEI JP GIRAFINHA                                       ,GIRAFINHA                     ,32192589,emei.girafinha@smed.prefpoa.com.br                
EDUCAÇÃO INFANTIL                                                                         ,43107702,EMEI JP MEU AMIGUINHO                                   ,MEU AMIGUINHO                 ,32276003,emei.meuamiguinho@smed.prefpoa.com.br             
EDUCAÇÃO INFANTIL                                                                         ,43107710,EMEI JP PASSARINHO DOURADO                              ,PASSARINHO DOURADO            ,33372537,emei.passarinhodourado@smed.prefpoa.com.br        
EDUCAÇÃO INFANTIL                                                                         ,43108369,EMEI JP PATINHO FEIO                                    ,PATINHO FEIO                  ,33742994,emei.patinhofeio@smed.prefpoa.com.br              
EDUCAÇÃO INFANTIL                                                                         ,43107729,EMEI JP PICA-PAU AMARELO                                ,PICA-PAU                      ,32275865,emei.picapauamarelo@smed.prefpoa.com.br           
EDUCAÇÃO INFANTIL                                                                         ,43173705,EMEI BAIRRO CAVALHADA                                   ,CAVALHADA                     ,32413604,emei.bairrocavalhada@smed.prefpoa.com.br          
EDUCAÇÃO INFANTIL                                                                         ,43173691,EMEI ÉRICO VERÍSSIMO                                    ,ÉRICO VERÍSSIMO               ,33481408,leticiasaldanha@hotmail.com                       
EDUCAÇÃO INFANTIL                                                                         ,43173683,EMEI JARDIM BENTO GONÇALVES                             ,BENTO GONÇALVES               ,33156120,emei.bentogoncalves@smed.prefpoa.com.br           
EDUCAÇÃO INFANTIL                                                                         ,43173675,EMEI DO JARDIM SALOMONI                                 ,SALOMONI                      ,32464712,emei.jardimsalomoni@smed.prefpoa.com.br           
EDUCAÇÃO INFANTIL                                                                         ,43173667,EMEI DA VILA MAX GEISS                                  ,MAX GEISS                     ,33653448,emei.vilamaxgeiss@smed.prefpoa.com.br             
EDUCAÇÃO INFANTIL                                                                         ,43173659,EMEI MARIA HELENA CAVALHEIRO GUSMÃO                     ,MARIA HELENA                  ,32464821,emei.mariahelenagusmao@smed.prefpoa.com.br        
EDUCAÇÃO INFANTIL                                                                         ,43173640,EMEI UNIDOS DA PAINEIRA                                 ,PAINEIRA                      ,33156130,emei.unidosdapaineira@smed.prefpoa.com.br         
EDUCAÇÃO INFANTIL                                                                         ,43173632,EMEI VALE VERDE                                         ,VALE VERDE                    ,33862044,emei.valeverde@smed.prefpoa.com.br                
EDUCAÇÃO INFANTIL                                                                         ,43173624,EMEI DA VILA ELIZABETH                                  ,VILA ELIZABETH                ,33645013,emei.vilaelizabeth@smed.prefpoa.com.br            
EDUCAÇÃO INFANTIL                                                                         ,43173616,EMEI DA VILA FLORESTA                                   ,VILA FLORESTA                 ,33622088,emei.vilafloresta@smed.prefpoa.com.br             
EDUCAÇÃO INFANTIL                                                                         ,43173608,EMEI MARIA MARQUES FERNANDES                            ,MARIA MARQUES                 ,33191208,emei.mariafernandes@smed.prefpoa.com.br           
EDUCAÇÃO INFANTIL                                                                         ,43173594,EMEI VILA NOVA                                          ,VILA NOVA                     ,32895853,emei.vilanova@smed.prefpoa.com.br                 
EDUCAÇÃO INFANTIL                                                                         ,43173586,EMEI DOM LUIZ DE NADAL                                  ,LUIZ DE NADAL                 ,32481410,emei.luizdenadal@smed.prefpoa.com.br              
EDUCAÇÃO INFANTIL                                                                         ,43173578,EMEI FLORÊNCIA VURLOD SOCIAS                            ,FLORENCIA                     ,32501703,emei.florenciasocias@smed.prefpoa.com.br          
EDUCAÇÃO INFANTIL                                                                         ,43173560,EMEI DA VILA NOVA RESTINGA                              ,NOVA RESTINGA                 ,32501600,emei.vilanovarestinga@smed.prefpoa.com.br         
EDUCAÇÃO INFANTIL                                                                         ,43173551,EMEI DA VILA DA PÁSCOA                                  ,VILA DA PÁSCOA                ,33673434,emei.viladapascoa@smed.prefpoa.com.br             
EDUCAÇÃO INFANTIL                                                                         ,43173543,EMEI DA VILA TRONCO                                     ,VILA TRONCO                   ,32669519,emei.vilatronco@smed.prefpoa.com.br               
EDUCAÇÃO INFANTIL                                                                         ,43173535,EMEI DR WALTER SILBER                                   ,WALTER SILBER                 ,33361893,emei.waltersilber@smed.prefpoa.com.br             
EDUCAÇÃO INFANTIL                                                                         ,43173527,EMEI DOS MUNICIPÁRIOS TIO BARNABÉ                       ,TIO BARNABÉ                   ,32274591,emei.tiobarnabe@smed.prefpoa.com.br               
