Inep,Logradouro,Numero,Bairro,Cep,Email
43107672,PCA GARIBALDI                                     ,1,AZENHA              ,90050020,emei.cantinhoamigo@smed.prefpoa.com.br            
43107680,RUA VINTE E QUATRO DE OUTUBRO                     ,211,INDEPENDÊNCIA       ,90510002,emei.cirandinha@smed.prefpoa.com.br               
43107699,PCA JAYME TELLES                                  ,1,SANTANA             ,90650100,emei.girafinha@smed.prefpoa.com.br                
43107702,R SAO CARLOS                                      ,636,FLORESTA            ,90220121,emei.meuamiguinho@smed.prefpoa.com.br             
43107710,AV GUIDO MONDIN                                   ,1,SÃO GERALDO         ,90230260,emei.passarinhodourado@smed.prefpoa.com.br        
43108369,AV BRASIL                                         ,593,SÃO GERALDO         ,90230061,emei.patinhofeio@smed.prefpoa.com.br              
43107729,PCA GEN OSORIO                                    ,1,CENTRO HISTÓRICO    ,90010520,emei.picapauamarelo@smed.prefpoa.com.br           
43173705,R CANELA                                          ,180,CAVALHADA           ,91740190,emei.bairrocavalhada@smed.prefpoa.com.br          
43173691,R MODESTO FRANCO                                  ,100,PASSO DAS PEDRAS    ,91230100,leticiasaldanha@hotmail.com                       
43173683,R SARGENTO EXPED GERALDO SANTANA                  ,40,PARTENON            ,91530640,emei.bentogoncalves@smed.prefpoa.com.br           
43173675,R JOAQUIM DE CARVALHO                             ,325,VILA NOVA           ,91740840,emei.jardimsalomoni@smed.prefpoa.com.br           
43173667,R ANTONIO FRANCISCO LISBOA                        ,400,RUBEM BERTA         ,91180040,emei.vilamaxgeiss@smed.prefpoa.com.br             
43173659,R SILVINO OLIVEIRA                                ,250,VILA NOVA           ,91750057,emei.mariahelenagusmao@smed.prefpoa.com.br        
43173640,R TOBIAS BARRETO                                  ,170,PARTENON            ,90660370,emei.unidosdapaineira@smed.prefpoa.com.br         
43173632,BC FRANKLIN                                       ,270,JARDIM SABARÁ       ,91210060,emei.valeverde@smed.prefpoa.com.br                
43173624,R PAULO GOMES DE OLIVEIRA                         ,120,SARANDI             ,91120570,emei.vilaelizabeth@smed.prefpoa.com.br            
43173616,R MONTE ALEGRE                                    ,55,JARDIM FLORESTA     ,91040120,emei.vilafloresta@smed.prefpoa.com.br             
43173608,AV SANTO DIAS DA SILVA                            ,550,LOMBA DO PINHEIRO   ,91550500,emei.mariafernandes@smed.prefpoa.com.br           
43173594,R FERNANDO PESSOA                                 ,350,VILA NOVA           ,91750340,emei.vilanova@smed.prefpoa.com.br                 
43173586,R DR CARLOS NIEDERAUER HOFMEISTER                 ,808,RESTINGA            ,91790020,emei.luizdenadal@smed.prefpoa.com.br              
43173578,R TEN ARIZOLY FAGUNDES                            ,250,RESTINGA            ,91790520,emei.florenciasocias@smed.prefpoa.com.br          
43173560,R ALVARO DIFINI                                   ,480,RESTINGA            ,91790560,emei.vilanovarestinga@smed.prefpoa.com.br         
43173551,R LORIS JOSE ISATTO                               ,0,RUBEM BERTA         ,91160160,emei.viladapascoa@smed.prefpoa.com.br             
43173543,AV MOAB CALDAS                                    ,129,SANTA TEREZA        ,90880310,emei.vilatronco@smed.prefpoa.com.br               
43173535,RUA FREI CLEMENTE                                 ,150,VILA SÃO JOSÉ       ,91520260,emei.waltersilber@smed.prefpoa.com.br             
43173527,R OTTO ERNST MEYER                                ,55,AZENHA              ,90050060,emei.tiobarnabe@smed.prefpoa.com.br               
43173519,R AMAURI CAFRUNE                                  ,149,RUBEM BERTA         ,91170075,emei.parquedosmaias2@smed.prefpoa.com.br          
43173500,C ESTR JOAO DE OLIVEIRA REMIAO                    ,1,LOMBA DO PINHEIRO   ,91560695,emei.vilanovasaocarlos@smed.prefpoa.com.br        
43173497,RUA PEDRO GOLOMBIEWSKI                            ,100,LOMBA DO PINHEIRO   ,91550230,emei.vilamapa2@smed.prefpoa.com.br                
43175163,R GARRUCHOS                                       ,0,ARQUIPÉLAGO         ,90090080,emei.ilhadapintada@smed.prefpoa.com.br            
43173489,R JARDIM DAS BROMÉLIAS                            ,1,CAMAQUÃ             ,91920400,emei.jardimcamaqua@smed.prefpoa.com.br            
43173470,RUA PRIMEIRO DE MARÇO                             ,300,VILA SÃO JOSÉ       ,91520620,emei.angelocosta@smed.prefpoa.com.br              
43173462,R ARACY FROES                                     ,210,JARDIM SABARÁ       ,91210230,emei.protasioalves@smed.prefpoa.com.br            
43173454,R GUIDO ALBERTO WERLANG                           ,747,RUBEM BERTA         ,91170300,emei.novagleba@smed.prefpoa.com.br                
43175155,AV DONARIO BRAGA                                  ,1,RUBEM BERTA         ,91160360,emei.vilasantarosa@smed.prefpoa.com.br            
43175147,RUA DR CAIO BRANDÃO DE MELLO                      ,1,HUMAITÁ             ,90250110,emei.humaita@smed.prefpoa.com.br                  
